,precision,recall,f1-score,support
negative,0.8932714617169374,0.8392370572207084,0.865411632481034,1835.0
neutral,0.5873015873015873,0.7161290322580646,0.6453488372093024,620.0
positive,0.7388392857142857,0.6997885835095138,0.7187839305103149,473.0
accuracy,0.7906420765027322,0.7906420765027322,0.7906420765027322,0.7906420765027322
macro avg,0.7398041115776035,0.751718224329429,0.7431814667335503,2928.0
weighted avg,0.8035352112433133,0.7906420765027322,0.7951268523920232,2928.0
